"Electorate","Place","Address","Type","ACT New Zealand","Aotearoa Legalise Cannabis Party","Ban1080","Conservative","Democrats for Social Credit","Green Party","Internet Party","Labour Party","MANA","Māori Party","National Party","New Zealand First Party","New Zealand People's Party","NZ Outdoors Party","The Opportunities Party (TOP)","United Future","Total Valid Party Votes","Informal Party Votes"
"Christchurch Central","Addington","Kidsfirst Kindergarten, 366 Selwyn Street","Regular",3,1,0,1,0,31,1,102,0,1,60,15,0,0,7,0,222,2
"Christchurch Central","Addington","Sacred Heart Parish Hall, 70 Spencer Street","Regular",0,0,0,0,0,0,0,5,0,0,7,1,0,0,1,0,14,0
"Christchurch Central","Akaroa","Akaroa Area School Gymnasium, 141 Rue Jolie (Selwyn Avenue entrance)","Regular",0,0,0,0,0,1,0,7,0,0,11,0,0,0,0,0,19,0
"Christchurch Central","Beckenham","St Peters Parish Centre Hall, 11 Fisher Avenue","Regular",0,0,0,1,0,85,0,264,0,2,213,24,0,1,26,1,617,1
"Christchurch Central","Bishopdale","Bishopdale School Hall, 465 Greers Road","Regular",0,0,0,0,0,4,0,44,0,0,33,5,0,0,0,0,86,2
"Christchurch Central","Bishopdale","Cotswold School Hall, 50 Cotswold Avenue","Regular",1,0,0,0,0,1,0,4,0,0,15,0,0,0,0,0,21,0
"Christchurch Central","Bishopdale","St Margaret's Presbyterian Church, The Hub, 94 Farrington Avenue","Regular",0,0,0,0,0,1,0,8,0,0,10,1,0,0,1,0,21,0
"Christchurch Central","Cashmere","Landsdowne Community Centre, 4 Landsdowne Terrace","Regular",0,0,0,0,0,4,0,16,0,0,8,0,0,0,1,0,29,0
"Christchurch Central","Christchurch City","ABC Salisbury Street, 150 Salisbury Street","Regular",6,1,0,0,0,51,0,114,0,2,138,12,0,0,14,1,339,0
"Christchurch Central","Christchurch City","Christchurch City Council, Civic Offices Foyer, 53 Hereford Street","Regular",2,1,0,1,0,24,0,70,0,4,81,8,0,0,14,1,206,0
"Christchurch Central","Christchurch City","Christchurch East School Hall, 311 Gloucester Street","Regular",2,5,0,0,0,70,1,254,1,2,148,37,0,0,19,0,539,2
"Christchurch Central","Christchurch City","Christchurch Public Hospital, Great Escape Café, 2 Riccarton Avenue","Regular",1,0,0,0,0,10,0,26,0,0,30,2,0,0,4,0,73,0
"Christchurch Central","Christchurch City","Knox Church, 28 Bealey Avenue","Regular",2,1,0,0,1,41,0,101,0,0,194,9,0,0,16,1,366,0
"Christchurch Central","Dallington","Banks Avenue School Library, 71 Banks Avenue","Regular",0,0,0,0,0,2,0,2,0,0,3,2,0,0,0,0,9,0
"Christchurch Central","Ilam","Ilam School Hall, 66 Ilam Road","Regular",0,0,0,0,0,2,0,5,0,0,10,1,0,0,2,0,20,0
"Christchurch Central","Linwood","Aspire Canterbury, 314 Worcester Street","Regular",2,0,0,2,0,29,0,75,0,1,52,11,0,0,5,0,177,0
"Christchurch Central","Linwood","Linwood Avenue School, 260 Linwood Avenue","Regular",0,1,0,0,0,7,0,75,0,0,43,16,0,0,0,0,142,0
"Christchurch Central","Linwood","Linwood College, Student Centre, 85 Aldwins Road","Regular",2,0,1,0,0,16,0,75,0,2,33,15,0,1,7,0,152,0
"Christchurch Central","Linwood","St Chad's Anglican Church Hall, 1 Carnarvon Street (corner Buckleys Road)","Regular",0,0,0,0,0,1,0,10,0,0,5,6,0,0,1,0,23,0
"Christchurch Central","Linwood","Union Church Hall, 378 Linwood Avenue","Regular",0,0,0,0,0,0,0,13,0,0,4,5,0,0,0,0,22,0
"Christchurch Central","Linwood North","Linwood North School, 221 Woodham Road","Regular",0,0,0,0,0,0,0,17,0,0,7,2,0,0,3,0,29,0
"Christchurch Central","Lower Cashmere","Thorrington School, 22A Colombo Street","Regular",1,1,0,0,0,35,0,67,0,0,66,5,0,0,10,0,185,1
"Christchurch Central","Lyttelton","Lyttelton Primary School, Oxford Street","Regular",0,0,0,0,0,5,0,4,0,0,6,1,0,0,0,0,16,0
"Christchurch Central","Mairehau","Mairehau High School Hall, 440 Hills Road","Regular",3,0,0,2,0,23,0,121,0,0,191,14,0,2,17,1,374,2
"Christchurch Central","Mairehau","Mairehau Primary School, 43 Mahars Road","Regular",3,1,0,0,0,27,0,193,1,2,195,29,2,0,23,0,476,1
"Christchurch Central","Mairehau","St Albans Community Preschool, 3 Thames Street","Regular",1,0,0,2,0,34,1,160,0,2,148,17,0,0,10,0,375,0
"Christchurch Central","Mairehau","St Albans Uniting Parish, 36 Nancy Avenue","Regular",3,2,0,0,0,32,1,188,0,0,211,36,0,0,13,2,488,5
"Christchurch Central","Marshland","Marshland School Hall, 11 Te Korari Street","Regular",0,0,0,0,0,0,0,6,0,0,18,0,0,0,1,0,25,0
"Christchurch Central","Merivale","Heaton Normal Intermediate School Hall, 125-133 Heaton Street","Regular",3,0,0,0,0,12,0,45,0,0,136,2,0,0,8,1,207,0
"Christchurch Central","Merivale","Rangi Ruru Girls' School, Helen Kitson Function Centre, Rhodes Street","Regular",1,0,0,0,0,7,0,15,0,0,70,4,0,1,1,0,99,0
"Christchurch Central","North New Brighton","Rawhiti School Hall, 150 Leaver Terrace","Regular",0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,0
"Christchurch Central","Opawa","Opawa Community Church, 1-5 Aynsley Terrace","Regular",0,0,0,1,0,12,0,23,0,1,26,1,0,0,1,0,65,0
"Christchurch Central","Opawa","Opawa School, 30 Ford Road","Regular",1,1,0,0,0,35,0,76,0,0,51,11,0,0,9,4,188,1
"Christchurch Central","Opawa","St Mark's Church Hall, corner Opawa Road & Vincent Place","Regular",1,1,0,1,0,19,0,80,0,2,75,10,0,0,6,0,195,0
"Christchurch Central","Papanui","Casebrook Intermediate, 100 Veitches Road","Regular",0,1,0,0,0,5,0,27,0,0,31,2,0,0,2,0,68,0
"Christchurch Central","Papanui","Northlands Shopping Mall, Hoyts Cinema Entrance, Main North Road","Regular",1,0,0,2,0,20,0,105,0,3,110,13,0,0,13,0,267,0
"Christchurch Central","Papanui","Papanui High School Hall, 30 Langdons Road","Regular",0,0,0,1,0,5,0,70,0,0,63,18,0,1,2,1,161,0
